,Año,Trimestre,Provincia,Accesos por cada 100 hab
528,2018,3,Buenos Aires,20.95908740104848
529,2018,3,Capital Federal,45.37709204560748
530,2018,3,Catamarca,8.373046550087581
531,2018,3,Chaco,8.628583509513742
532,2018,3,Chubut,17.28630822939319
533,2018,3,Córdoba,19.66915749676994
534,2018,3,Corrientes,9.018948170247882
535,2018,3,Entre Ríos,15.016208210741233
536,2018,3,Formosa,7.5279498103121085
537,2018,3,Jujuy,5.949165647225797
538,2018,3,La Pampa,23.64056278957734
539,2018,3,La Rioja,13.505484520192356
540,2018,3,Mendoza,10.601969231966759
541,2018,3,Misiones,8.74450949017475
542,2018,3,Neuquén,18.005451709791327
543,2018,3,Río Negro,15.546572458298687
544,2018,3,Salta,9.549341341721156
545,2018,3,San Juan,8.419357955569252
546,2018,3,San Luis,14.983359875657099
547,2018,3,Santa Cruz,9.738987459252597
548,2018,3,Santa Fe,19.939106982732063
549,2018,3,Santiago Del Estero,8.996517443513934
550,2018,3,Tierra Del Fuego,27.506021696216745
551,2018,3,Tucumán,10.325137534986972
552,2018,2,Buenos Aires,20.374582324435124
553,2018,2,Capital Federal,44.632577746788044
554,2018,2,Catamarca,8.35838388395506
555,2018,2,Chaco,8.353123614291734
556,2018,2,Chubut,16.830485129144066
557,2018,2,Córdoba,19.373198551696014
558,2018,2,Corrientes,8.903247385340823
559,2018,2,Entre Ríos,14.711648453505866
560,2018,2,Formosa,7.4919076165093035
561,2018,2,Jujuy,5.9923974768014165
562,2018,2,La Pampa,23.40701065826804
563,2018,2,La Rioja,13.570922884408905
564,2018,2,Mendoza,10.318226443150964
565,2018,2,Misiones,8.61598877251767
566,2018,2,Neuquén,17.931877810369247
567,2018,2,Río Negro,15.42558308937726
568,2018,2,Salta,9.673102808845783
569,2018,2,San Juan,8.392841711641646
570,2018,2,San Luis,4.336137508962927
571,2018,2,Santa Cruz,9.919588050940062
572,2018,2,Santa Fe,19.675591530682105
573,2018,2,Santiago Del Estero,8.750160589339375
574,2018,2,Tierra Del Fuego,27.162316515991055
575,2018,2,Tucumán,10.283671207148597
576,2018,1,Buenos Aires,20.27965291057949
