,Año,Trimestre,Provincia,Accesos por cada 100 hogares
551,2018,3,Tucumán,41.68101359528755
552,2018,2,Buenos Aires,62.78226651094991
553,2018,2,Capital Federal,106.53494128146691
554,2018,2,Catamarca,32.8575008674866
555,2018,2,Chaco,31.251704996034892
556,2018,2,Chubut,54.90230333735512
557,2018,2,Córdoba,63.2743661231958
558,2018,2,Corrientes,33.80975390881165
559,2018,2,Entre Ríos,49.20261187052838
560,2018,2,Formosa,29.434226520796997
561,2018,2,Jujuy,23.432202729854474
562,2018,2,La Pampa,71.04033787278055
563,2018,2,La Rioja,50.97789073923241
564,2018,2,Mendoza,36.97287272406129
565,2018,2,Misiones,31.630907682221824
566,2018,2,Neuquén,60.23679161402031
567,2018,2,Río Negro,50.147894623963396
568,2018,2,Salta,39.93719209989731
569,2018,2,San Juan,32.94664884868421
570,2018,2,San Luis,15.150424491351385
571,2018,2,Santa Cruz,33.33236451006607
572,2018,2,Santa Fe,62.57079239957442
573,2018,2,Santiago Del Estero,35.256464211164236
574,2018,2,Tierra Del Fuego,91.60519629538562
575,2018,2,Tucumán,41.512563170017415
576,2018,1,Buenos Aires,62.62621166168454
577,2018,1,Capital Federal,106.23567174586837
578,2018,1,Catamarca,32.79361613741535
579,2018,1,Chaco,30.829927645702472
580,2018,1,Chubut,53.71560488248906
581,2018,1,Córdoba,63.51716965201617
582,2018,1,Corrientes,32.66346087317512
583,2018,1,Entre Ríos,48.68120241785722
584,2018,1,Formosa,21.404310259211442
585,2018,1,Jujuy,23.121260875677535
586,2018,1,La Pampa,71.75163692275797
587,2018,1,La Rioja,51.44351011244806
588,2018,1,Mendoza,37.07215110240331
589,2018,1,Misiones,30.95673588446963
590,2018,1,Neuquén,61.517390351563726
591,2018,1,Río Negro,49.816861312232405
592,2018,1,Salta,39.775591632918804
593,2018,1,San Juan,32.60917745169287
594,2018,1,San Luis,15.14879034827491
595,2018,1,Santa Cruz,33.55275989857616
596,2018,1,Santa Fe,62.28199844300957
597,2018,1,Santiago Del Estero,34.9882694482421
598,2018,1,Tierra Del Fuego,65.19963702359347
599,2018,1,Tucumán,41.176009388866156
600,2017,4,Buenos Aires,57.609615290258205
601,2017,4,Capital Federal,122.89742418734991
602,2017,4,Catamarca,28.620950093924897
603,2017,4,Chaco,30.808158111236537
604,2017,4,Chubut,51.46309626749354
