,Año,Trimestre,Provincia,Mbps (Media de bajada)
620,2017,4,Santa Fe,10.297494601847182
621,2017,4,Santiago Del Estero,6.165600214985038
622,2017,4,Tierra Del Fuego,5.203225704536838
623,2017,4,Tucumán,9.106021307187058
624,2017,3,Buenos Aires,8.425706211853651
625,2017,3,Capital Federal,10.635720274073307
626,2017,3,Catamarca,5.260018066713561
627,2017,3,Chaco,8.484871287555498
628,2017,3,Chubut,3.4783469156690874
629,2017,3,Córdoba,9.115572873049981
630,2017,3,Corrientes,7.447416428085263
631,2017,3,Entre Ríos,6.993400639349653
632,2017,3,Formosa,7.06882153411281
633,2017,3,Jujuy,4.689006725369201
634,2017,3,La Pampa,3.4381011143320657
635,2017,3,La Rioja,5.010090208766659
636,2017,3,Mendoza,3.512962661663036
637,2017,3,Misiones,8.430383025286991
638,2017,3,Neuquén,8.16517738570226
639,2017,3,Río Negro,5.487278804673885
640,2017,3,Salta,6.133146206896552
641,2017,3,San Juan,3.4497842064911834
642,2017,3,San Luis,3.50338739319684
643,2017,3,Santa Cruz,3.610470505758638
644,2017,3,Santa Fe,7.792215148399743
645,2017,3,Santiago Del Estero,5.178558078335373
646,2017,3,Tierra Del Fuego,3.475358271865121
647,2017,3,Tucumán,6.3851768015553985
648,2017,2,Buenos Aires,7.198747751887984
649,2017,2,Capital Federal,8.843219830788254
650,2017,2,Catamarca,5.102182825899711
651,2017,2,Chaco,7.689213433544128
652,2017,2,Chubut,3.44726909222351
653,2017,2,Córdoba,7.421321799076774
654,2017,2,Corrientes,6.7915804826070545
655,2017,2,Entre Ríos,6.287810106292773
656,2017,2,Formosa,6.1786533146404965
657,2017,2,Jujuy,4.541861878194008
658,2017,2,La Pampa,3.3182593614961053
659,2017,2,La Rioja,5.53385510805501
660,2017,2,Mendoza,3.507255863215121
661,2017,2,Misiones,7.604338490520663
662,2017,2,Neuquén,6.700610698446883
663,2017,2,Río Negro,4.741350857381452
664,2017,2,Salta,5.756213134839845
665,2017,2,San Juan,3.4920338095238095
666,2017,2,San Luis,3.502824149975052
667,2017,2,Santa Cruz,3.60311348968991
668,2017,2,Santa Fe,6.838749250446204
669,2017,2,Santiago Del Estero,5.05794740805446
670,2017,2,Tierra Del Fuego,3.476761467376085
671,2017,2,Tucumán,6.093280445624717
672,2017,1,Buenos Aires,6.678482577091709
673,2017,1,Capital Federal,8.348147316695423
674,2017,1,Catamarca,4.973784837545127
675,2017,1,Chaco,7.307905398272823
676,2017,1,Chubut,3.4433862008733622
677,2017,1,Córdoba,6.799477637369997
678,2017,1,Corrientes,6.43297127701597
679,2017,1,Entre Ríos,5.9514745757075245
680,2017,1,Formosa,5.742388931901572
681,2017,1,Jujuy,4.393861259634748
682,2017,1,La Pampa,3.2208135842183347
683,2017,1,La Rioja,5.427180473372781
684,2017,1,Mendoza,3.5072942051440963
685,2017,1,Misiones,7.341041988916319
686,2017,1,Neuquén,6.0348361444213925
687,2017,1,Río Negro,4.449448877971685
