,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
562,2018,2,La Pampa,82177,244.0,82421
563,2018,2,La Rioja,51931,17.0,51948
564,2018,2,Mendoza,199468,1484.0,200952
565,2018,2,Misiones,106147,,106147
566,2018,2,Neuquén,113842,2006.0,115848
567,2018,2,Río Negro,111176,1059.0,112235
568,2018,2,Salta,134166,1.0,134167
569,2018,2,San Juan,63443,658.0,64101
570,2018,2,San Luis,21168,300.0,21468
571,2018,2,Santa Cruz,33970,435.0,34405
572,2018,2,Santa Fe,684243,309.0,684552
573,2018,2,Santiago Del Estero,83773,2.0,83775
574,2018,2,Tierra Del Fuego,44199,508.0,44707
575,2018,2,Tucumán,169926,31.0,169957
576,2018,1,Buenos Aires,3464882,10564.0,3475446
577,2018,1,Capital Federal,1359882,6688.0,1366570
578,2018,1,Catamarca,33934,11.0,33945
579,2018,1,Chaco,96925,12.0,96937
580,2018,1,Chubut,95532,2427.0,97959
581,2018,1,Córdoba,713825,101.0,713926
582,2018,1,Corrientes,94406,11.0,94417
583,2018,1,Entre Ríos,197346,48.0,197394
